Species,Island,Individual ID,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Culmen Length (mm) Offset,Culmen Depth (mm) Offset,Flipper Length (mm) Offset,Body Mass (g) Offset
Adelie,Dream,N22A1,39.5,17.8,188.0,3300.0,FEMALE,0.03975533681031129,-0.12429964932506399,-0.029170319935923006,0.014537545220114523
Adelie,Dream,N25A1,37.6,19.3,181.0,3300.0,FEMALE,0.07250695514254579,0.035638432251340446,-0.0455583456231915,0.06606884755323694
Adelie,Dream,N48A1,36.2,17.3,187.0,3300.0,FEMALE,-0.036735911452864145,-0.015019979101705827,0.042451022502651425,-0.06590623138878715
Adelie,Torgersen,N6A1,37.8,17.1,186.0,3300.0,UNKNOWN,-0.10351178110914006,0.01771382099200436,0.04283822688854888,-0.08158723497301656
Chinstrap,Dream,N71A1,50.3,20.0,197.0,3300.0,MALE,0.035638432251340446,-0.012834230348442333,-0.02785420945014816,-0.02878311555002544
Chinstrap,Dream,N89A1,46.7,17.9,195.0,3300.0,FEMALE,0.044532523297626914,-0.06996486715206063,-0.064814215497359,0.0286878860543317
Adelie,Torgersen,N64A2,41.1,18.6,189.0,3325.0,MALE,0.12210746846542686,-0.010911266697903321,-0.08049571270868972,0.0
Adelie,Torgersen,N73A1,38.5,17.9,190.0,3325.0,FEMALE,0.0,0.04645548694816559,0.0947002248606661,-0.04380309465173127
Adelie,Torgersen,N10A1,34.4,18.4,184.0,3325.0,FEMALE,-0.012834230348442333,-0.10736180308744803,0.03602888934982529,-0.015019979101705827
Adelie,Dream,N23A1,36.4,17.0,195.0,3325.0,FEMALE,0.051048868451531115,-0.09179878668001851,0.01771382099200436,0.04283822688854888
Chinstrap,Dream,N90A1,48.1,16.4,199.0,3325.0,FEMALE,0.017603967234768536,0.12210746846542686,0.094651992022179,0.014150340834217179
Adelie,Biscoe,N30A1,35.5,16.2,195.0,3350.0,FEMALE,0.04485132352015231,-0.015518387419779844,-0.0525349022138929,-0.057953435485948446
Adelie,Torgersen,N64A1,35.7,17.0,189.0,3350.0,FEMALE,-0.060578324724897326,0.05099285333172965,-0.04200455028436534,0.058356614308328725
Chinstrap,Dream,N93A1,42.5,17.3,187.0,3350.0,FEMALE,0.06601283243343559,-0.02785420945014816,0.13456994499693986,-0.029170319935923006
Chinstrap,Dream,N65A1,42.5,16.7,187.0,3350.0,FEMALE,-0.03838456137967572,-0.01962709982358235,-0.11919278469336947,-0.07297341458765427
Adelie,Dream,N41A1,37.3,17.8,191.0,3350.0,FEMALE,0.058356614308328725,-0.13981803674484383,-0.03712311583876182,0.028300681668434247
Adelie,Dream,N80A1,40.2,17.1,193.0,3400.0,FEMALE,0.015518387419779844,0.03186416182622143,0.01091126669790321,0.07250695514254579
Chinstrap,Dream,N99A1,43.5,18.1,202.0,3400.0,FEMALE,-0.040180346661555566,-0.11531459899028706,0.04645548694816559,0.0881879587267752
Adelie,Dream,N46A1,34.0,17.1,185.0,3400.0,FEMALE,0.0,0.08948401575605403,-0.10132093584124735,0.0
Adelie,Biscoe,N11A1,37.8,18.3,174.0,3400.0,FEMALE,0.11888894141271045,-0.08543131847205276,0.0,-0.04419029903762883
Adelie,Dream,N79A1,37.0,16.5,185.0,3400.0,FEMALE,-0.04380309465173127,-0.1445818351518977,-0.06590623138878715,-0.0879933936893601
Chinstrap,Dream,N73A2,48.5,17.5,191.0,3400.0,MALE,-0.06804190350152184,-0.02297277500454431,0.07725614494527466,0.10320793782848103
Chinstrap,Dream,N87A1,50.1,17.9,190.0,3400.0,FEMALE,0.004937449565405427,-0.17085481158440347,0.07918183744088636,-0.10351178110914006
Chinstrap,Dream,N61A1,50.5,18.4,200.0,3400.0,FEMALE,0.10675679372472624,0.11768403485911216,-0.03388404170244774,0.11888894141271045
Adelie,Dream,N29A1,41.1,19.0,182.0,3425.0,MALE,-0.1289008315676684,0.04654969894924377,0.02187854851560822,-0.11919278469336947
Adelie,Dream,N77A1,38.1,17.6,187.0,3425.0,FEMALE,0.05747100160435725,0.0789709884379497,0.028300681668434247,0.13456994499693986
Adelie,Biscoe,N22A1,35.0,17.9,190.0,3450.0,FEMALE,0.015681003584229414,0.003565323959829003,-0.029170319935923117,-0.015019979101705827
Adelie,Torgersen,N67A1,40.2,17.0,176.0,3450.0,FEMALE,0.031199391004009147,0.0026938418902984207,-0.012834230348442333,0.042451022502651425
Chinstrap,Dream,N72A1,46.4,18.6,190.0,3450.0,FEMALE,-0.007345942738074207,0.017603967234768536,0.052589567158753625,0.012834230348442333
Adelie,Torgersen,N9A1,38.7,19.0,195.0,3450.0,FEMALE,0.06542379750719596,-0.06140521808445809,-0.008217424807605012,-0.057024529386071166
Adelie,Dream,N84A1,36.0,17.8,195.0,3450.0,FEMALE,-0.09040966914334392,0.1256887668617387,0.021822533395806754,0.05747100160435725
Chinstrap,Dream,N93A2,52.2,18.8,197.0,3450.0,MALE,-0.023745497046345654,-0.06008910759868302,0.0269845711826594,-0.13334312552758654
Adelie,Torgersen,N3A1,36.7,19.3,193.0,3450.0,FEMALE,-0.06590623138878715,-0.03661792427606403,0.12210746846542686,-0.029170319935923006
Adelie,Dream,N30A1,36.0,17.9,190.0,3450.0,FEMALE,-0.0747286655591145,-0.05444647973228123,0.12189340982829089,-0.07254291680585101
Adelie,Dream,N80A2,40.6,17.2,187.0,3475.0,MALE,0.07725614494527466,0.0,-0.04419029903762883,0.02785420945014816
Adelie,Dream,N83A2,36.6,18.4,184.0,3475.0,FEMALE,0.06606884755323694,0.10200303127488275,-0.09040966914334392,0.0
Adelie,Torgersen,N5A1,34.1,18.1,193.0,3475.0,UNKNOWN,0.015518387419779844,-0.07128097763783547,0.13778847204965627,-0.015518387419779844
Adelie,Torgersen,N66A2,37.7,19.8,198.0,3500.0,MALE,-0.04419029903762883,0.0,-0.0623992756351196,0.04200455028436534
Chinstrap,Dream,N75A2,45.5,17.0,196.0,3500.0,FEMALE,-0.03388404170244774,-0.008217424807605012,-0.10271005337792194,-0.04200455028436534
Chinstrap,Dream,N61A1,46.5,17.9,192.0,3500.0,FEMALE,0.146906290894823,-0.041612249383838895,-0.11388085246596247,0.06542379750719596
Adelie,Dream,N76A1,36.8,18.5,193.0,3500.0,FEMALE,-0.02878311555002544,0.0,0.05378496162265611,0.014150340834217179
Adelie,Torgersen,N73A2,43.1,19.2,197.0,3500.0,MALE,-0.027346116313113233,-0.09144517628786974,-0.015019979101705827,-0.057024529386071166
Adelie,Biscoe,N21A1,39.6,17.7,186.0,3500.0,FEMALE,-0.07233430302088584,0.011518119862667486,-0.015019979101705827,-0.08049571270868972
Adelie,Dream,N42A2,36.9,18.6,189.0,3500.0,FEMALE,0.0286878860543317,-0.021822533395806754,0.04200455028436534,0.08044377660890178
Chinstrap,Dream,N62A2,45.4,18.7,188.0,3525.0,FEMALE,0.1256887668617387,-0.008988303047364199,0.0,-0.09601410012846956
Chinstrap,Dream,N95A2,45.6,19.4,194.0,3525.0,FEMALE,0.15672554170129827,-0.05229892786029344,-0.04929582807757915,-0.028352617768222177
Adelie,Dream,N24A2,42.2,18.5,180.0,3550.0,FEMALE,0.021822533395806754,0.015019979101705827,0.0,0.029170319935923006
Adelie,Biscoe,N51A2,39.7,18.9,184.0,3550.0,MALE,0.0947002248606661,0.08779342260827694,-0.05175589055457008,0.09596216402868163
Adelie,Biscoe,N17A1,40.6,18.6,183.0,3550.0,MALE,-0.08334248594447691,-0.03750353698003617,0.08970264704030473,0.052589567158753625
Adelie,Torgersen,N35A1,39.6,17.2,196.0,3550.0,FEMALE,0.07918183744088636,-0.10271005337792194,-0.040180346661555566,0.0
Adelie,Torgersen,N38A1,36.2,16.1,187.0,3550.0,FEMALE,0.03602888934982529,0.07725614494527466,-0.0879933936893601,-0.11016444096268663
Chinstrap,Dream,N75A1,50.9,19.1,196.0,3550.0,MALE,0.027685636348501963,0.13116601947820505,0.046014502660438605,0.11098214313038746
Adelie,Dream,N41A2,41.3,20.3,194.0,3550.0,MALE,-0.045187115673776757,-0.054664284709105226,-0.034275848975873324,-0.042502958602439356
Adelie,Dream,N45A1,35.7,18.0,202.0,3550.0,FEMALE,0.05987130262185825,0.08516853336932806,-0.06996486715206063,0.014150340834217179
Adelie,Biscoe,N24A1,39.0,17.5,186.0,3550.0,FEMALE,0.09596216402868163,-0.07791766305489944,0.014150340834217179,-0.01415034083421729
Chinstrap,Dream,N70A1,45.9,17.1,190.0,3575.0,FEMALE,0.003565323959829003,-0.012326137211407406,0.0,0.03975533681031129
Adelie,Biscoe,N28A1,37.6,17.0,185.0,3600.0,FEMALE,0.028300681668434247,-0.0525349022138929,-0.02878311555002544,-0.056653299436656424
Chinstrap,Dream,N67A1,49.7,18.6,195.0,3600.0,MALE,-0.045886830664678135,0.031754308068985715,-0.09179878668001851,0.06350083385665695
Adelie,Biscoe,N11A2,37.7,18.7,180.0,3600.0,MALE,0.0,0.08072623940940982,-0.04353521303437757,-0.07233430302088584
Chinstrap,Dream,N73A1,42.4,17.3,181.0,3600.0,FEMALE,0.03684251249751258,-0.0013161104857747352,-0.00756559151694125,0.07918183744088636
Adelie,Dream,N44A2,38.9,18.8,190.0,3600.0,FEMALE,0.08044377660890178,-0.029550741077197462,-0.07233430302088584,-0.08801530660511525
Adelie,Torgersen,N34A1,33.5,19.0,190.0,3600.0,FEMALE,-0.012834230348442333,-0.00876371482591598,-0.08801530660511525,-0.029170319935923117
Chinstrap,Dream,N92A1,45.7,17.3,193.0,3600.0,FEMALE,-0.17085481158440347,0.012834230348442333,-0.045187115673776757,0.0947002248606661
Adelie,Torgersen,N4A1,38.9,17.8,181.0,3625.0,FEMALE,-0.09601410012846956,-0.15533642416462368,0.04485132352015231,-0.12107570766059006
Chinstrap,Dream,N74A2,46.2,17.5,187.0,3650.0,FEMALE,0.11636792437333732,0.06328998485372028,0.07250695514254579,0.12189340982829089
Chinstrap,Dream,N62A1,51.3,19.2,193.0,3650.0,MALE,0.0,0.02061845314963462,-0.0607055030935566,-0.1365940950803699
Chinstrap,Dream,N96A2,46.8,16.5,189.0,3650.0,FEMALE,-0.10736180308744803,0.13778847204965627,-0.015518387419779844,0.0
Adelie,Torgersen,N3A2,39.3,20.6,190.0,3650.0,MALE,-0.042502958602439356,0.005424822889577463,-0.042502958602439356,-0.015518387419779844
Adelie,Dream,N82A2,39.0,18.7,185.0,3650.0,MALE,0.029170319935923006,0.009651171331930053,0.0,0.015518387419779844
Chinstrap,Dream,N98A1,45.7,17.0,195.0,3650.0,FEMALE,-0.05444647973228123,-0.023364582277969892,0.03186416182622143,0.031199391004009147
Chinstrap,Dream,N88A2,49.8,17.3,198.0,3675.0,FEMALE,0.04654969894924377,0.0269845711826594,-0.07791766305489944,-0.03712311583876182
Chinstrap,Dream,N86A1,50.9,17.9,196.0,3675.0,FEMALE,-0.020281834688583356,0.07101819253511088,0.1036343565902712,0.04671777842378899
Adelie,Torgersen,N6A2,37.8,17.3,180.0,3700.0,UNKNOWN,-0.11919278469336947,0.03981880153110173,0.03070098268593524,-0.05214309494046765
Chinstrap,Dream,N67A2,51.3,19.9,198.0,3700.0,MALE,-0.058496472791671805,-0.09287892281219368,0.0789709884379497,0.06173775752549482
Adelie,Biscoe,N23A2,41.4,18.6,191.0,3700.0,MALE,0.0679353024568734,-0.09134945316507448,-0.08334248594447691,-0.0676614823602475
Chinstrap,Dream,N71A2,58.0,17.8,181.0,3700.0,FEMALE,0.0,0.032305146113948524,0.007728207681391042,0.07725614494527466
Adelie,Dream,N85A1,36.0,17.1,187.0,3700.0,FEMALE,0.08970264704030473,0.06190412002963319,0.10320793782848103,-0.08334248594447691
Adelie,Dream,N49A1,38.1,18.6,190.0,3700.0,FEMALE,0.012834230348442333,-0.052523516081741994,0.03975533681031129,0.09293714852950408
Adelie,Torgersen,N36A1,35.5,17.5,190.0,3700.0,FEMALE,-0.0455583456231915,-0.0623992756351196,0.06350083385665695,-0.09886087336425664
Adelie,Torgersen,N37A1,40.9,16.8,191.0,3700.0,FEMALE,-0.11388085246596247,0.040951224901314975,0.0,0.0
Adelie,Torgersen,N8A2,36.6,17.8,185.0,3700.0,FEMALE,0.014537545220114523,0.14120715428151853,0.06606884755323694,0.023246595101170442
Chinstrap,Dream,N62A1,46.4,17.8,191.0,3700.0,FEMALE,-0.05576259021805596,-0.03388404170244774,-0.05214309494046765,-0.015518387419779844
Chinstrap,Dream,N69A1,47.0,17.3,185.0,3700.0,FEMALE,-0.015298738640912912,-0.03876547614805148,-0.014632774715808372,0.038764982520950286
Chinstrap,Dream,N64A1,52.7,19.8,197.0,3725.0,MALE,0.005424822889577463,0.09534711870874901,-0.0013161104857748462,0.10708748936372114
Adelie,Dream,N81A2,40.7,17.0,190.0,3725.0,MALE,-0.09886087336425664,0.06601283243343559,0.11098214313038746,-0.11388085246596247
Adelie,Biscoe,N47A1,35.0,17.9,192.0,3725.0,FEMALE,0.0,0.019083711379608848,-0.015518387419779844,-0.03103677483955969
Adelie,Biscoe,N25A2,37.6,19.1,194.0,3750.0,MALE,0.0881879587267752,-0.11848168357031696,0.0068025542941008155,0.05378496162265611
Adelie,Torgersen,N1A1,39.1,18.7,181.0,3750.0,MALE,0.052589567158753625,-0.08306188260322767,-0.03053836652148567,0.12210746846542686
Adelie,Biscoe,N53A1,38.6,17.2,199.0,3750.0,FEMALE,0.04200455028436534,0.046014502660438605,0.1256887668617387,-0.1289008315676684
Chinstrap,Dream,N66A2,51.3,18.2,197.0,3750.0,MALE,0.05772559455191362,0.00767403636363162,0.03981880153110173,0.13778847204965627
Adelie,Dream,N84A2,37.8,18.1,193.0,3750.0,MALE,0.13456994499693986,0.057366753646069024,-0.1289008315676684,-0.1445818351518977
Chinstrap,Dream,N100A2,50.2,18.7,198.0,3775.0,FEMALE,-0.09144517628786974,-0.06804190350152184,0.06328998485372028,0.1534694756338857
Adelie,Torgersen,N63A2,37.3,20.5,199.0,3775.0,MALE,-0.057953435485948446,-0.009595156212128364,-0.10927967022335816,-0.16026283873612712
Chinstrap,Dream,N99A2,49.6,18.2,193.0,3775.0,MALE,0.11833178912976272,-0.028132968989355245,-0.01962709982358235,0.01091126669790321
Chinstrap,Dream,N68A2,51.7,20.3,194.0,3775.0,MALE,-0.012834230348442333,-0.023745497046345654,0.040951224901314975,-0.045187115673776757
Adelie,Biscoe,N13A1,38.8,17.2,180.0,3800.0,MALE,0.014150340834217179,0.1036343565902712,-0.015518387419779844,-0.0607055030935566
Adelie,Dream,N42A1,36.3,19.5,190.0,3800.0,MALE,0.000387204385897455,0.06617679877282612,-0.09601410012846956,0.0679353024568734
Adelie,Biscoe,N13A2,35.3,18.9,187.0,3800.0,FEMALE,-0.03053836652148567,-0.0010355071445257158,-0.057024529386071166,-0.004108712403802617
Chinstrap,Dream,N61A2,49.5,19.0,200.0,3800.0,MALE,-0.03086685156297231,0.0620680863690235,0.032305146113948524,0.02593124579960915
Adelie,Torgersen,N40A1,36.7,18.8,187.0,3800.0,FEMALE,-0.08158723497301656,0.023801512166147232,0.012834230348442333,-0.01962709982358235
Chinstrap,Dream,N95A1,50.2,18.8,202.0,3800.0,MALE,-0.021597945174358202,-0.04457072017890329,0.07101819253511088,0.040951224901314975
Adelie,Torgersen,N1A2,39.5,17.4,186.0,3800.0,FEMALE,-0.01415034083421729,0.02435235021111004,-0.057953435485948446,-0.034275848975873324
Adelie,Biscoe,N12A1,35.9,19.2,189.0,3800.0,FEMALE,-0.022585570618647077,0.09260645289050917,0.06542379750719596,0.0068025542941008155
Chinstrap,Dream,N68A1,46.6,17.8,193.0,3800.0,FEMALE,0.00767403636363162,-0.00926890638861333,0.02593124579960915,-0.04929582807757915
Chinstrap,Dream,N85A2,50.6,19.4,193.0,3800.0,MALE,0.06617679877282612,0.05065841135304627,0.1534694756338857,0.05510156573553204
Adelie,Biscoe,N24A2,40.6,18.8,193.0,3800.0,MALE,0.09293714852950408,0.05500090317015638,-0.03103677483955969,-0.064814215497359
Adelie,Torgersen,N7A2,38.6,21.2,191.0,3800.0,MALE,-0.015518387419779844,0.0,0.09293714852950408,-0.008217424807605012
Adelie,Biscoe,N58A1,38.1,16.5,198.0,3825.0,FEMALE,-0.13334312552758654,0.1534694756338857,-0.09359866663912875,0.021822533395806754
Chinstrap,Dream,N69A1,47.6,18.3,195.0,3850.0,FEMALE,0.08302368572195129,0.02270998990182005,-0.03838456137967572,-0.023364582277969892
Adelie,Torgersen,N67A2,41.4,18.5,202.0,3875.0,MALE,-0.0607055030935566,0.03362125659972348,0.003565323959829003,0.03684251249751258
Adelie,Dream,N77A2,41.1,17.5,190.0,3900.0,MALE,0.05378496162265611,-0.046718272050890186,0.08044377660890178,-0.03838456137967572
Adelie,Biscoe,N53A2,38.2,20.0,190.0,3900.0,MALE,-0.029170319935923006,0.026429654117683277,0.029170319935923006,0.06601283243343559
Chinstrap,Dream,N61A2,50.0,19.5,196.0,3900.0,MALE,0.07758647378880335,0.012665657246796136,0.08948401575605403,-0.07764844584580133
Chinstrap,Dream,N67A2,47.5,16.8,199.0,3900.0,FEMALE,0.06750529830217145,-0.04929582807757915,0.11017037944195884,0.08153121985321532
Adelie,Torgersen,N34A2,39.7,18.4,190.0,3900.0,MALE,0.12189340982829089,-0.015298738640912912,-0.12107570766059006,0.0026938418902984207
Adelie,Dream,N21A2,37.2,18.1,178.0,3900.0,MALE,0.04283822688854888,0.11636792437333732,0.028352617768222177,0.05099285333172965
Adelie,Dream,N26A2,40.8,18.4,195.0,3900.0,MALE,0.023246595101170442,0.08648464385510302,0.0026938418902984207,-0.0525349022138929
Adelie,Dream,N22A2,40.9,18.9,184.0,3900.0,MALE,0.10708748936372114,0.0128902454682438,0.000387204385897455,-0.09179878668001851
Adelie,Biscoe,N61A1,39.6,20.7,191.0,3900.0,FEMALE,-0.056653299436656424,-0.015518387419779844,-0.015518387419779844,-0.012326137211407406
Adelie,Torgersen,N37A2,37.2,19.4,184.0,3900.0,MALE,-0.015019979101705827,0.10675679372472624,-0.036735911452864145,0.01771382099200436
Adelie,Biscoe,N12A2,38.2,18.1,185.0,3950.0,MALE,-0.07254291680585101,-0.007345942738074207,0.014537545220114523,-0.027346116313113233
Chinstrap,Dream,N64A2,45.2,17.8,198.0,3950.0,FEMALE,-0.10927967022335816,0.15672554170129827,-0.046718272050890186,0.03186416182622143
Adelie,Biscoe,N18A2,40.5,18.9,180.0,3950.0,MALE,0.06173775752549482,0.07277344350657133,0.015681003584229414,0.06190412002963319
Chinstrap,Dream,N74A1,49.0,19.5,210.0,3950.0,MALE,0.023801512166147232,-0.06644926869451051,0.03362125659972348,-0.06536913256233523
Adelie,Dream,N24A1,38.8,20.0,190.0,3950.0,MALE,-0.08049571270868972,0.0013161104857748462,0.09596216402868163,0.08948401575605403
Gentoo,Biscoe,N6A1,42.7,13.7,208.0,3950.0,FEMALE,0.05099285333172965,0.03070098268593524,0.13138790347504326,-0.08088751998211507
Chinstrap,Dream,N96A1,51.9,19.5,206.0,3950.0,MALE,0.026429654117683277,0.08119677787453194,-0.11531459899028706,-0.10271005337792194
Chinstrap,Dream,N90A2,51.4,19.0,201.0,3950.0,MALE,0.015518387419779844,-0.10564745322187452,0.15672554170129827,0.0
Adelie,Biscoe,N29A2,41.6,18.0,192.0,3950.0,MALE,-0.01962709982358235,-0.09963359540605765,0.038764982520950286,-0.040180346661555566
Adelie,Dream,N44A1,38.3,19.2,189.0,3950.0,MALE,0.02785420945014816,-0.021597945174358202,-0.057024529386071166,0.046014502660438605
Adelie,Dream,N78A2,40.2,20.1,200.0,3975.0,MALE,-0.015518387419779844,-0.03914589728932538,-0.00926890638861333,0.1036343565902712
Adelie,Torgersen,N69A2,40.6,19.0,199.0,4000.0,MALE,-0.0676614823602475,0.03152971984753783,-0.12429964932506399,-0.015019979101705827
Adelie,Dream,N85A2,41.5,18.5,201.0,4000.0,MALE,0.02593124579960915,-0.07583106574529475,-0.05444647973228123,0.012834230348442333
Adelie,Torgersen,N38A2,42.1,19.1,195.0,4000.0,MALE,-0.064814215497359,-0.13416268715454627,-0.012326137211407406,-0.02785420945014816
Chinstrap,Dream,N98A2,55.8,19.8,207.0,4000.0,MALE,0.0,0.04270561545020779,0.057366753646069024,-0.0013161104857747352
Adelie,Torgersen,N72A2,44.1,18.0,210.0,4000.0,MALE,-0.0013161104857747352,0.1006869207891079,0.08648464385510302,0.0269845711826594
Chinstrap,Dream,N69A2,52.0,18.1,201.0,4050.0,MALE,0.0013161104857748462,0.07233430302088573,-0.15533642416462368,-0.015019979101705827
Chinstrap,Dream,N92A2,50.7,19.7,203.0,4050.0,MALE,-0.06644926869451051,0.027685636348501963,-0.041612249383838895,0.011518119862667597
Adelie,Biscoe,N22A2,42.0,19.5,200.0,4050.0,MALE,-0.04929582807757915,-0.08196765611429035,-0.13981803674484383,-0.03876547614805148
Chinstrap,Dream,N70A2,50.5,19.6,201.0,4050.0,MALE,-0.10559551712208692,-0.1197458579563041,0.14120715428151853,0.03981880153110173
Chinstrap,Dream,N94A2,49.3,19.9,203.0,4050.0,MALE,0.08779342260827694,0.05772559455191362,0.08516853336932806,-0.0013161104857748462
Adelie,Biscoe,N28A2,41.1,18.2,192.0,4050.0,MALE,0.13778847204965627,-0.1615339690960021,-0.09886087336425664,0.02435235021111004
Adelie,Biscoe,N61A2,42.7,18.3,196.0,4075.0,MALE,0.0026938418902984207,0.044532523297626914,-0.08088751998211507,-0.02297277500454431
Adelie,Biscoe,N30A2,41.1,19.1,188.0,4100.0,MALE,0.1534694756338857,0.004937449565405427,-0.07254291680585101,-0.046718272050890186
Chinstrap,Dream,N100A1,50.8,19.0,210.0,4100.0,MALE,-0.08196765611429035,-0.045886830664678135,-0.015298738640912912,0.04777159743394044
Gentoo,Biscoe,N46A1,44.5,14.3,216.0,4100.0,UNKNOWN,0.011518119862667597,0.06606884755323694,-0.10564745322187452,-0.0623992756351196
Chinstrap,Dream,N65A2,51.0,18.8,203.0,4100.0,MALE,-0.04434613195745496,0.039482515750376534,-0.02018017308651654,0.06328998485372028
Adelie,Dream,N50A2,43.2,18.5,192.0,4100.0,MALE,0.08948401575605403,-0.04446905857683592,0.023246595101170442,-0.07791766305489944
Adelie,Torgersen,N35A2,45.8,18.9,197.0,4150.0,MALE,0.04645548694816559,-0.07510908670038896,0.011518119862667597,0.0789709884379497
Adelie,Dream,N30A2,42.3,21.2,191.0,4150.0,MALE,-0.023364582277969892,-0.015518387419779844,-0.1365940950803699,-0.09359866663912875
